ID,CustomerID,BranchID,FromAddressInfoID,FromPhoneInfoID,ToAddressInfoID,ToPhoneInfoID,MovePricingID,Status,MovingDate,MoveSize,MoveType,ApproximateWeight,Distance,Comments,Brand,EstimatorDate,EstimatorEndDate,BookedDate,CancellationReason,CurrentWorkflowStage,CurrentWorkflowStep,SentToLocalOffice,DateUpdated,DateCreated,MovingDateCommitmentStatus,MoveCompletedDate,InvoiceFlag,BillOfLaden,EstimatorEmployeeID,IsStorage,CrewRating,Capacity,CapacitySaved,EstTime,IsVerify,IsAts,PackingCrew,PackingEstimateTime,PackingEstHrs,ROM,TruckAdded,PreMoveType,PreCoded,HoursChange,INTERNALNOTES,customerviewed,UnloadingROM,GoogleDistance,Chargeback,EstimatorVideo,ZipCodeNotSure,MovingDateNotSure,ResolutionStatus,IsSatellite,EstimateFlag,IsGoogleReviewSent,CustomPriceText,RouteId,MoveWithUsBefore,ExactDate,DueBookedOutDate,DepositAmount,StorageStatus,IsLDMove,StorageInterest,IsPenciledInConfirmed,PenciledInAt,MainMoveType,OneTimeOrCorporate,JunkOption,MongoDBId,InvoiceMongoDBId
146123,246249,26.0,297541,293351,297542,293352,145717,3,2006-02-11 00:00:00.000,1,1,0.0,15.0,<P>01/23/2019 - Updated billing address to send monthly statements. Should be receiving a payment next month from her - JS&nbsp;<BR><BR>*LMSS About updating storage info*</P>,1,,,2007-04-24 00:00:00.000,0.0,400,400,1,2019-10-19 11:49:00.000,2007-04-24 15:11:00.000,,2006-02-11 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,15.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
153461,253587,4.0,312444,308027,312445,308028,153055,2,2007-05-11 00:00:00.000,1,1,,7.0,INTO STORAGE,1,,,,1.0,500,500,1,2019-07-26 11:37:00.000,2007-05-11 16:31:00.000,,,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
155612,255738,19.0,316799,312329,316800,312330,155206,2,2005-12-06 00:00:00.000,0,1,,18.0,STORAGE TRACKING LEAD; DO NOT CALL,1,,,,1.0,500,500,1,2014-03-04 14:11:00.000,2007-05-16 09:13:00.000,,,0,,,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156323,256449,19.0,318239,313751,318240,313752,155917,3,2005-08-20 00:00:00.000,0,1,7500.0,6.0,"mailing address: 8408 Briarwood Road Jacksonville, FL 32217",1,,,2007-05-17 00:00:00.000,0.0,400,400,1,2019-07-15 14:33:00.000,2007-05-17 09:43:00.000,,2005-08-20 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
163309,263435,3.0,332380,327723,332381,327724,162903,3,2010-01-01 00:00:00.000,0,1,3750.0,0.0,,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2018-09-20 08:09:00.000,2007-05-30 12:29:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163362,263488,3.0,332486,327829,332487,327830,162956,3,2010-01-01 00:00:00.000,0,1,1250.0,0.0,,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2019-09-26 21:40:00.000,2007-05-30 13:01:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
163381,263507,3.0,332524,327867,332525,327868,162975,3,2010-01-01 00:00:00.000,0,1,8750.0,0.0,,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2019-07-24 19:44:00.000,2007-05-30 13:15:00.000,,2013-03-25 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
163559,263685,3.0,332883,328223,332884,328224,163153,3,2010-01-01 00:00:00.000,0,1,1250.0,0.0,,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2019-10-22 21:31:00.000,2007-05-30 15:24:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
165917,266043,3.0,337656,332939,337657,332940,165511,3,2010-01-01 00:00:00.000,0,1,2500.0,171.0,,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2019-07-16 17:32:00.000,2007-06-04 12:23:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,0.5,,5.0,0.0,,,,,,,,,,,,,171.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
165936,266062,3.0,337695,332977,337696,332978,165530,3,2010-01-01 00:00:00.000,0,1,2500.0,871.0,,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2019-02-16 11:33:00.000,2007-06-04 12:36:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,871.0,,,,,,,,,,,,,,,,,,,,,,,,
166029,266155,3.0,337881,333163,337882,333164,165623,3,2010-01-01 00:00:00.000,0,1,18750.0,0.0,"#408 N 4240 N clarendon Chicago , IL 60613",1,,,2007-06-14 00:00:00.000,0.0,400,400,1,2019-10-22 21:26:00.000,2007-06-04 13:27:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
166055,266181,3.0,337934,333215,337935,333216,165649,3,2010-01-01 00:00:00.000,0,1,7500.0,0.0,,1,,,2007-06-27 00:00:00.000,0.0,400,400,1,2019-05-29 21:54:00.000,2007-06-04 13:46:00.000,,2010-01-01 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
168033,268159,16.0,341936,337171,341937,337172,167627,3,2007-06-19 00:00:00.000,0,1,2000.0,33.0,$150 piano fee 3@119/hr 1tt.... special: baby grand piano heaviest: piano own pack....,1,,,2007-06-06 00:00:00.000,0.0,400,400,1,2019-11-08 11:23:00.000,2007-06-06 17:17:00.000,,2007-06-19 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,33.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
170370,270496,26.0,346667,341845,346668,341846,169964,3,2006-04-14 00:00:00.000,0,1,0.0,14.0,3-11-109 .5 Hr Trvl,1,,,2007-06-11 00:00:00.000,0.0,400,400,1,2019-10-21 11:30:00.000,2007-06-11 14:04:00.000,,2007-06-11 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,14.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
183218,283344,16.0,372699,367541,372700,367542,182812,3,2007-07-13 00:00:00.000,0,1,1250.0,16.0,"contact amy medicroft cell 443-375-8982 or 410-628-1821, she will be the person at the origin....and would request after 10:00 move...jenni<BR>specialty: none<BR>heaviest: dresser<BR>might need light packing<BR><A href=""mailto:2@114"">2@114</A> + 1 hour travel time + 50 for starge per crate...jenni",1,,,2007-07-03 00:00:00.000,0.0,400,400,1,2019-03-01 17:44:00.000,2007-07-02 17:49:00.000,,2007-07-13 00:00:00.000,0,,,0.0,0.0,1.0,1.0,,0.0,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,
189854,290004,7.0,386154,380813,386155,380814,189448,3,2007-07-23 00:00:00.000,0,1,1250.0,12.0,"<P>F-5 1 (UPDATED CONTRACT )&nbsp;&nbsp; new stg 60.00</P>
<P>special-none<BR>heaviest-dresser<BR>packing-none<BR><A href=""mailto:2@89hr"">2@89hr</A> + 1 hour travel time </P>
<P>master:5453-1314-3662-5358 ex:06-09 sec:005....request am move... for elevator </P>
<P>CURRENT ADDRESS AS OF 11/8/16&nbsp; 48 STUART LAKE COVE #194 MIRAMAR BEACH, FL 32550</P>
<P>WR# 93106</P>",1,,,2007-07-16 00:00:00.000,0.0,400,400,1,2018-04-02 16:09:00.000,2007-07-16 14:54:00.000,,2007-07-23 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203302,303452,4.0,413496,407709,413497,407710,202896,3,2007-08-13 00:00:00.000,0,1,1250.0,28.0,$242 flat rate $40 monthly storage,1,,,2007-08-13 00:00:00.000,0.0,400,400,1,2019-10-15 12:51:00.000,2007-08-13 09:42:00.000,,2007-08-13 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,28.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
203512,303662,16.0,413924,408129,413925,408130,203106,3,2007-08-30 00:00:00.000,0,1,7500.0,47.0,"<P>specialty: antique china closet, 6' ft tall mirror</P>
<P>heaviest:&nbsp;freezer and sleep sofa</P>
<P>packing: no</P>
<P><A href=""mailto:3@119.00"">3@119.00</A> + 1 hour travel</P>",1,,,2007-08-24 00:00:00.000,0.0,400,400,1,2018-11-16 11:35:00.000,2007-08-13 12:01:00.000,,2007-08-30 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,
217075,317225,26.0,441575,435255,441576,435256,216669,3,2006-09-06 00:00:00.000,0,1,3000.0,6.0,<P>Map 552 C2 3-3-124 **.5trvl Contact Barron Blackman - son his number is 210-393-5225 11/19 12/17 left message credit card exp date needed for storage payment</P>,1,,,2007-09-14 00:00:00.000,0.0,400,400,1,2019-10-15 10:13:00.000,2007-09-14 12:15:00.000,,2006-09-06 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
220449,320599,16.0,448456,442003,448457,442004,220043,3,2005-11-08 00:00:00.000,0,1,3750.0,25.0,"<P>&nbsp;called her son and he disided to pay for her storge for a year</P>
<P>2 men 109 per hour will need help with things.</P>",1,,,2015-03-23 13:24:00.000,0.0,400,400,1,2019-10-15 16:11:00.000,2007-09-22 15:29:00.000,,2005-11-08 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,25.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
220463,320613,16.0,448485,442031,448486,442032,220057,1,1999-03-01 00:00:00.000,0,1,3750.0,30.0,,1,,,2016-09-15 11:31:00.000,0.0,300,300,1,2019-11-11 09:42:00.000,2007-09-22 16:08:00.000,,,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,30.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
223405,323555,16.0,454482,447915,454483,447916,222999,1,1999-02-13 00:00:00.000,0,1,3750.0,6.0,,1,,,2015-09-14 07:56:00.000,0.0,300,300,1,2019-11-12 13:52:00.000,2007-09-29 14:11:00.000,,,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
224851,325001,16.0,457435,450807,457436,450808,224445,2,2005-04-01 00:00:00.000,0,1,5000.0,19.0,,1,,,,1.0,500,500,1,2019-10-15 16:23:00.000,2007-10-03 13:27:00.000,,,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,19.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
224866,325016,16.0,457465,450837,457466,450838,224460,2,1995-06-02 00:00:00.000,0,1,3750.0,31.0,Quoted 2 men 109 hr 3+1 12%,1,,,,1.0,500,500,1,2019-10-17 12:37:00.000,2007-10-03 13:53:00.000,,,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,31.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
225885,326035,16.0,459554,452875,459555,452876,225479,2,1994-05-17 00:00:00.000,0,1,3750.0,292.0,,1,,,,1.0,500,500,1,2019-10-15 16:27:00.000,2007-10-05 17:29:00.000,,,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,292.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
230197,330347,13.0,468333,461499,468334,461500,229791,3,2007-10-22 00:00:00.000,0,1,6250.0,9.0,"2/16 deliver the dining room table and buffet&nbsp;&amp; 2 leaves<br>mthly &amp; fax receipt to 713 697-8815&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; dining rm + fixture (Needs crating) 
<p></p>
<p>to storage @ AMS&nbsp;&nbsp; <a href=""mailto:2@79"">2@79</a> + $40/mth</p>",1,,,2007-10-17 00:00:00.000,0.0,400,400,1,2019-07-15 12:51:00.000,2007-10-17 17:24:00.000,,2016-02-17 00:00:00.000,0,,,0.0,0.0,1.0,,6.0,1.0,,,,,,,,,,,,,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
231411,331561,26.0,470809,463927,470810,463928,231005,3,2007-10-30 00:00:00.000,0,1,6000.0,16.0,"Map 616 E8 3-7-109 .5 Hr Trvl Into AMS stg. Billing address: 818 Durham, NB 78133",1,,,2007-11-06 00:00:00.000,0.0,400,400,1,2019-10-15 10:10:00.000,2007-10-22 11:53:00.000,,2007-10-30 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
239588,339744,40.0,487483,480281,487484,480282,239182,3,2007-11-24 00:00:00.000,0,1,2500.0,40.0,"<P><STRONG>CONF 53 B 583-54 A 011 - Prefers afternoon move!!! - </STRONG>Heaviest item - Hutch&nbsp;&nbsp;&nbsp;&nbsp; <A href=""mailto:3@120hr"">3@120hr</A> 2hr min 1tt...&nbsp; Edward</P>",1,,,2007-11-13 00:00:00.000,0.0,400,400,1,2019-03-13 13:09:00.000,2007-11-13 14:34:00.000,,2007-11-24 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,
239894,340050,22.0,488109,480893,488110,480894,239488,3,2008-01-28 00:00:00.000,0,1,5000.0,60.0,"<P><FONT color=#ff1493>specialty: 40'' lcd<BR>heaviest: washer<BR>full packign<BR></FONT><A href=""mailto:3@109"">3@109</A><FONT color=#ff1493> + 1 hour travel time + $75 per crate per month + packing materials....jenni<BR></FONT><FONT face=Arial><FONT size=2><FONT color=#000000>&nbsp;<STRONG>$50 per crate</STRONG></FONT></FONT></FONT></P>",1,,,2007-11-14 00:00:00.000,0.0,400,400,1,2019-01-02 10:58:00.000,2007-11-14 12:06:00.000,,2008-01-28 00:00:00.000,0,,,1.0,0.0,0.5,,,0.0,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,
257770,358016,19.0,524453,516645,524454,516646,257364,3,2008-01-24 00:00:00.000,0,1,0.0,9.0,"<P>6 TO 7 PIECES, NO MORE THAN 10 PIECES. baby grand piano</P>
<P>WANTS IN HOME ESTIMATE</P>
<P>BILLING ADDRESS:&nbsp;&nbsp; <BR>4333 CHESNEY GLEN DR., HERMITAGE, TN</P>",1,2008-01-11 00:00:00.000,2008-01-11 01:00:00.000,2008-01-11 00:00:00.000,0.0,400,400,1,2018-03-28 12:45:00.000,2008-01-11 10:38:00.000,,2008-01-24 00:00:00.000,0,,,0.0,0.0,1.0,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
